읍면동,번지,본번,부번,단지명,매매전월세구분,전용면적(㎡),계약년월,계약일,거래금액(만원),월세,층,건축년도,해제사유발생일,거래유형
두정동,526-1,0526,0001,극동늘푸른,전세,59.91,1,19,"        19,500",             0,11,1996,,중개거래
두정동,525-1,0525,0001,대우그린,전세,69.966,1,19,"        19,000",             0,5,1996,,중개거래
두정동,527,0527,0000,주공그린(8단지),매매,59.97,1,19,"        16,000",0,4,1996,,중개거래
두정동,665,0665,0000,서해그랑블,전세,84.9333,1,19,"        13,000",             0,1,2004,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,전세,20.57,1,19,"         4,500",             0,12,2013,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,월세,19.47,1,19,           300,            35,8,2013,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,전세,84.6564,1,2,"        23,000",             0,7,2013,,중개거래
두정동,1864,1864,0000,우성,전세,59.695,1,2,"        18,500",             0,11,1996,,중개거래
두정동,1864,1864,0000,우성,전세,59.695,1,2,"        18,500",             0,11,1996,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,월세,18.11,1,2,           300,            30,9,2013,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,월세,19.47,1,2,           300,            30,8,2013,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,매매,84.93,1,20,"        57,000",0,5,2020,,중개거래
두정동,2037,2037,0000,두정역푸르지오,전세,101.9071,1,20,"        33,000",             0,21,2009,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,전세,84.8801,1,20,"        30,000",             0,1,2013,,중개거래
두정동,666,0666,0000,두정4차푸르지오,매매,84.9,1,20,"        26,000",0,14,2003,,중개거래
두정동,1000,1000,0000,한성스위트빌,매매,84.892,1,20,"        24,800",0,14,2002,,중개거래
두정동,1078,1078,0000,계룡리슈빌,전세,84.8985,1,20,"        20,000",             0,5,2004,,중개거래
두정동,1864,1864,0000,우성,매매,59.695,1,20,"        19,000",0,14,1996,,중개거래
두정동,1864,1864,0000,우성,전세,59.695,1,20,"        16,500",             0,9,1996,,중개거래
두정동,527,0527,0000,주공그린(8단지),전세,59.97,1,20,"        16,000",             0,4,1996,,중개거래
두정동,1466,1466,0000,두정역펜타폴리스,매매,27.285,1,20,"         6,100",0,8,2013,,직거래
두정동,1466,1466,0000,두정역펜타폴리스,매매,19.435,1,20,"         3,450",0,6,2013,,중개거래
두정동,1327,1327,0000,하이스타운,월세,19.3611,1,20,"         1,500",            24,10,2013,,중개거래
두정동,527,0527,0000,주공그린(8단지),월세,59.97,1,20,"         1,000",            70,14,1996,,중개거래
두정동,527,0527,0000,주공그린(8단지),월세,59.97,1,20,"         1,000",            70,14,1996,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,전세,59.92,1,21,"        27,000",             0,12,2020,,중개거래
두정동,1221,1221,0000,이편한세상,전세,84.967,1,21,"        24,000",             0,12,2004,,중개거래
두정동,1000,1000,0000,한성스위트빌,매매,84.892,1,21,"        22,800",0,5,2002,,중개거래
