dong,address,par_add,sub_add,name,deal,area,month,day,acount,rent,floor,year,property,station_area
두정동,525-1,525,1,대우그린,월세,33.6,2,26,2000,30,20,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,2,28,2500,60,19,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,3,15,500,50,19,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,3,19,1000,53,22,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,3,20,500,40,7,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,84.95,3,27,2000,85,7,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,4,11,1000,75,3,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,4,15,1000,55,21,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,69.966,4,16,1000,63,13,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,69.966,4,16,1000,63,13,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,4,18,1000,60,8,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,4,20,1500,45,15,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,4,20,1500,70,23,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,4,25,1000,50,14,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,84.95,4,29,2000,80,4,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,69.966,4,4,2000,75,10,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,5,1,1000,70,2,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,5,13,500,55,13,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,69.966,5,2,2000,85,12,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,5,2,1000,75,20,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,5,28,2000,70,10,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,5,30,1000,55,2,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,5,31,1000,40,19,1996,직거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,5,7,1000,75,12,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,5,9,1000,62,20,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,6,2,500,45,16,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,6,3,1000,75,12,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,6,7,2000,70,11,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,6,7,500,50,11,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,6,7,500,50,11,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,7,8,1000,50,16,1996,직거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,8,20,1000,75,6,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,8,5,500,50,21,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,8,7,2000,40,7,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,69.966,9,14,1000,70,15,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,9,16,1000,58,14,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,9,21,1000,63,20,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,10,11,2000,70,2,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,10,18,500,40,3,1996,중개거래,두정역
두정동,1332,1332,0,더리치빌2,월세,24.02,1,26,4500,12,4,2013,중개거래,
두정동,1332,1332,0,더리치빌2,월세,20.66,2,3,500,33,10,2013,중개거래,
두정동,1332,1332,0,더리치빌2,월세,20.66,2,7,4000,5,6,2013,중개거래,
두정동,1332,1332,0,더리치빌2,월세,24.02,5,20,5000,8,6,2013,중개거래,
두정동,1332,1332,0,더리치빌2,월세,24.02,6,30,5400,3,9,2013,중개거래,
두정동,1332,1332,0,더리치빌2,월세,38.672,10,17,7800,11,8,2013,중개거래,
두정동,1308,1308,0,더쉼,월세,23.4925,3,23,2500,17,7,2013,중개거래,
두정동,1308,1308,0,더쉼,월세,22.1875,10,26,1500,30,6,2013,중개거래,
두정동,1593,1593,0,두정3푸르지오,월세,84.9,2,9,10000,50,12,2003,중개거래,
두정동,1593,1593,0,두정3푸르지오,월세,73.005,3,12,2000,85,14,2003,중개거래,
두정동,1593,1593,0,두정3푸르지오,월세,73.005,3,12,2000,85,14,2003,중개거래,
두정동,1593,1593,0,두정3푸르지오,월세,84.9,5,28,2000,90,13,2003,중개거래,
두정동,666,666,0,두정4차푸르지오,월세,75.19,1,25,3000,65,5,2003,중개거래,
두정동,666,666,0,두정4차푸르지오,월세,75.19,3,16,1000,85,12,2003,중개거래,
두정동,666,666,0,두정4차푸르지오,월세,75.19,5,27,2000,90,4,2003,중개거래,
두정동,666,666,0,두정4차푸르지오,월세,75.19,5,3,2000,90,3,2003,중개거래,
두정동,666,666,0,두정4차푸르지오,월세,101.83,9,28,4000,100,13,2003,중개거래,
두정동,2010,2010,0,두정5차푸르지오,월세,84.742,4,6,10000,13,13,2004,중개거래,
두정동,1458,1458,0,두정동휴스빌,월세,30.21,2,13,4000,30,6,2014,직거래,
두정동,1458,1458,0,두정동휴스빌,월세,21.78,6,18,300,35,5,2014,중개거래,
두정동,1458,1458,0,두정동휴스빌,월세,21.78,9,23,300,35,5,2014,중개거래,
두정동,1458,1458,0,두정동휴스빌,월세,20.86,10,11,300,35,4,2014,중개거래,
두정동,1458,1458,0,두정동휴스빌,월세,21.78,10,27,300,35,5,2014,중개거래,
두정동,1486,1486,0,두정미소마을,월세,17,1,15,500,35,4,2012,중개거래,두정역
두정동,1486,1486,0,두정미소마을,월세,17,1,3,500,30,6,2012,직거래,두정역
두정동,1486,1486,0,두정미소마을,월세,17,5,26,1500,25,3,2012,중개거래,두정역
두정동,1486,1486,0,두정미소마을,월세,17,7,12,300,35,4,2012,중개거래,두정역
두정동,1486,1486,0,두정미소마을,월세,14.2,7,26,1000,30,5,2012,직거래,두정역
두정동,1486,1486,0,두정미소마을,월세,18.32,8,25,500,27,4,2012,중개거래,두정역
두정동,1486,1486,0,두정미소마을,월세,18.32,9,30,2000,20,6,2012,직거래,두정역
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,1,14,9000,21,20,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,2,15,8800,14,20,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,2,16,5300,24,3,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,3,18,11200,20,20,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,3,28,10400,27,11,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,4,15,8800,14,20,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,5,20,9000,21,21,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,10,11200,21,19,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,10,10400,28,16,2020,중개거래,
