dong,address,par_add,sub_add,name,deal,area,month,day,acount,rent,floor,year,cancellation,property,station_area
두정동,526-1,526,1,극동늘푸른,전세,59.91,1,10,19000,0,20,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,1,10,16800,0,19,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,1,13,19000,0,11,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,1,15,19950,0,2,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,1,15,18000,0,20,1996,210,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,1,15,18000,0,20,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,1,15,16800,0,16,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,1,19,19500,0,11,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,1,21,17300,0,22,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,1,22,1000,70,17,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,1,24,15000,0,21,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,1,25,17500,0,3,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,1,25,1000,85,8,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,1,25,1000,85,8,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,1,3,16000,0,10,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,1,5,19000,0,12,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,1,5,16000,0,1,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,1,8,1500,63,11,1996,,직거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,10,15750,0,8,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,10,15000,0,1,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,2,11,22500,0,21,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,2,11,18400,0,2,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,11,18000,0,5,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,2,11,15500,0,21,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,11,1000,80,8,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,2,12,22000,0,9,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,12,19500,0,21,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,2,14,22000,0,7,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,14,1000,80,2,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,2,17,23000,0,10,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,18,19000,0,20,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,19,15225,0,6,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,21,19500,0,3,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,2,21,17000,0,5,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,2,21,17000,0,5,1996,228,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,2,21,2000,80,3,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,22,15225,0,7,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,22,14700,0,5,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,24,1000,68,2,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,2,26,22000,0,18,1996,321,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,26,16275,0,4,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,26,1000,72,21,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,26,1000,68,8,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,2,27,21000,0,9,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,2,4,16800,0,8,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,2,5,16800,0,16,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,2,5,16800,0,16,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,2,7,21000,0,12,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,2,9,18800,0,20,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,3,10,18500,0,3,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,3,12,17000,0,19,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,3,12,1000,55,16,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,3,14,17500,0,16,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,3,14,17500,0,16,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,3,15,20900,0,3,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,3,15,18800,0,3,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,3,17,19800,0,11,1996,,직거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,3,20,22000,0,1,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,3,21,22000,0,18,1996,,직거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,3,21,17000,0,19,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,3,26,22500,0,16,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,3,26,20000,0,18,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,3,26,18000,0,1,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,3,27,20000,0,4,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,3,27,20000,0,3,1996,,직거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,3,28,18700,0,1,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,3,5,19000,0,19,1996,,직거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,4,1,19200,0,4,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,4,11,17000,0,4,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,4,12,19100,0,21,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,4,14,13500,0,19,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,4,15,19000,0,12,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,4,16,19000,0,3,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,4,16,17500,0,6,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,4,18,20500,0,3,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,4,18,2000,80,21,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,4,2,21000,0,17,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,4,2,20000,0,17,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,4,20,18500,0,5,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,4,20,17000,0,8,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,4,21,17200,0,1,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,4,25,23500,0,11,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,4,25,1000,60,17,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,4,26,20500,0,2,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,4,26,18000,0,11,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,4,29,19500,0,4,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,4,30,17800,0,21,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,4,8,18000,0,10,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,4,9,20300,0,5,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,5,1,22000,0,17,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,5,11,1000,57,21,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,5,13,20000,0,14,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,5,13,1000,75,3,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,5,14,24400,0,18,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,5,14,15750,0,21,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,5,15,20000,0,16,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,5,16,21500,0,2,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,5,16,17000,0,19,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,5,18,16000,0,15,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,5,21,18000,0,6,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,5,21,17500,0,4,1996,,직거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,5,21,16850,0,22,1996,,직거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,5,23,16400,0,13,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,전세,84.9,5,24,20350,0,8,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,59.91,5,25,19000,0,11,1996,,직거래,
두정동,526-1,526,1,극동늘푸른,전세,59.91,5,25,13650,0,18,1996,,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,5,25,1000,80,4,1996,,중개거래,
