address,name,deal,area,month,day,acount,rent,floor,property
525-1,대우그린,매매,69.966,10,14,19500,0,6,중개거래
525-1,대우그린,매매,69.966,10,21,18800,0,4,중개거래
525-1,대우그린,매매,84.95,10,27,21000,0,7,중개거래
525-1,대우그린,매매,84.95,10,31,24500,0,25,중개거래
525-1,대우그린,매매,69.966,10,31,22300,0,22,중개거래
525-1,대우그린,매매,69.966,10,6,19000,0,6,중개거래
1896,대주파크빌(101동),매매,84.5821,1,16,23000,0,5,중개거래
1896,대주파크빌(101동),매매,84.5821,5,18,24000,0,7,중개거래
1896,대주파크빌(101동),매매,84.5821,5,21,22000,0,4,직거래
1896,대주파크빌(101동),매매,84.5821,9,22,21000,0,3,중개거래
1898,대주파크빌(102동),매매,84.5821,6,18,21500,0,2,중개거래
1593,두정3푸르지오,매매,84.9,1,26,24400,0,3,중개거래
1593,두정3푸르지오,매매,84.9,2,15,26000,0,14,중개거래
1593,두정3푸르지오,매매,73.005,2,15,20000,0,14,중개거래
1593,두정3푸르지오,매매,84.9,3,19,26000,0,5,중개거래
1593,두정3푸르지오,매매,84.9,3,28,23000,0,4,중개거래
1593,두정3푸르지오,매매,73.005,3,9,21000,0,11,중개거래
1593,두정3푸르지오,매매,84.9,4,13,27000,0,15,중개거래
1593,두정3푸르지오,매매,84.9,4,18,25900,0,9,중개거래
1593,두정3푸르지오,매매,84.9,5,26,24700,0,11,중개거래
1593,두정3푸르지오,매매,84.9,5,31,25000,0,15,직거래
1593,두정3푸르지오,매매,84.9,5,7,23500,0,2,중개거래
1593,두정3푸르지오,매매,84.9,6,11,25000,0,8,중개거래
1593,두정3푸르지오,매매,84.9,7,2,22900,0,11,중개거래
1593,두정3푸르지오,매매,84.9,7,27,23000,0,9,중개거래
1593,두정3푸르지오,매매,84.9,8,17,23000,0,3,중개거래
666,두정4차푸르지오,매매,84.9,1,15,22800,0,1,직거래
666,두정4차푸르지오,매매,84.9,1,20,26000,0,14,중개거래
