id,dong,address,par_add,sub_add,name,year,station_area
195,성환읍 매주리,324-1,324,1,건주참조은,2016,
196,성환읍 매주리,314-1,314,1,미성,1989,
197,성환읍 매주리,244-13,244,13,부영,2005,
198,성환읍 매주리,244-5,244,5,부영사랑으로,2006,
199,성환읍 매주리,319-1,319,1,성환골드,1991,
200,성환읍 매주리,183,183,0,성환부영,1998,
201,성환읍 매주리,312,312,0,성환삼풍,1993,
202,성환읍 매주리,311-9,311,9,중앙,1992,
203,성환읍 매주리,182-10,182,10,천안성환e-편한세상,2009,
204,성환읍 매주리,425-11,425,11,혜성,1993,
205,성환읍 성월리,147-1,147,1,미산라이프아파트,2016,
206,성환읍 성월리,111-13,111,13,성환부자마을,2007,
207,성환읍 성월리,95,95,7,아포리예미원,2006,
208,성환읍 성월리,103-7,103,7,지성보금자리,2004,
209,성환읍 성월리,26,26,2,태양,2001,
210,성환읍 성월리,150,150,0,현대한솔,1997,
211,성환읍 성환리,449-106,449,106,만경근생(449-106),1994,성환역
212,성환읍 성환리,356-19,356,19,조양,1985,성환역
213,성환읍 송덕리,55,55,12,영흥,1993,
214,성환읍 수향리,214-9,214,9,근로자복지,1994,
215,성환읍 수향리,466-5,466,5,한미래,2003,
216,성환읍 율금리,507-4,507,4,대영한아름,1998,
217,성환읍 율금리,773,773,0,두진그린힐,2001,
218,성환읍 율금리,447-2,447,2,이화,1998,
219,신당동,705,705,0,e편한세상천안부성,2018,
220,신당동,284-1,284,1,신당코아루,2005,
221,신당동,377-10,377,10,조승,1994,
222,쌍용동,1126,1126,0,BENZOINHOUSE,2013,
223,쌍용동,380-4,380,4,경동,1986,
224,쌍용동,1361,1361,0,계룡푸른마을,1996,쌍용역
225,쌍용동,1233,1233,0,광명,1993,
226,쌍용동,380-3,380,3,극동,1991,
227,쌍용동,889,889,0,대우타워,1994,
228,쌍용동,1279,1279,0,라이프타운,1994,
229,쌍용동,2040,2040,0,범양마더빌,2005,쌍용역
230,쌍용동,2047,2047,0,범양마더빌2차,2006,쌍용역
231,쌍용동,1273,1273,0,상록수현대,1995,쌍용역
232,쌍용동,566,566,0,세경개나리,1994,
233,쌍용동,1146-1,1146,1,스타팰리스,2013,
234,쌍용동,861,861,0,시영1차근로복지,1992,
235,쌍용동,567,567,0,시영2차근로복지,1994,쌍용역
236,쌍용동,2077,2077,0,쌍용동일하이빌,2007,
237,쌍용동,1241,1241,0,쌍용두산위브,2010,
238,쌍용동,1920,1920,0,"쌍용마을뜨란채,주공아파트",1999,
239,쌍용동,653,653,0,쌍용모란,1994,
240,쌍용동,2050,2050,0,쌍용역푸르지오,2006,쌍용역
241,쌍용동,2075,2075,0,쌍용자이,2007,
242,쌍용동,1923,1923,0,용암동아벽산,1999,
243,쌍용동,1548,1548,0,월봉대우,1998,쌍용역
244,쌍용동,1538,1538,0,월봉벽산,1998,
245,쌍용동,1547,1547,0,월봉일성5,1999,쌍용역
246,쌍용동,1367,1367,0,월봉청솔1단지,2000,
247,쌍용동,1561,1561,0,월봉청솔2차,2000,쌍용역
248,쌍용동,1538,1538,0,월봉태영,1998,
249,쌍용동,1552,1552,0,월봉현대,1998,
250,쌍용동,379-33,379,33,이화,1985,
251,쌍용동,848,848,0,일성,1992,
252,쌍용동,788,788,0,일성2,1994,
253,쌍용동,652,652,0,일성3차(능수),1994,
254,쌍용동,657,657,0,일성다래,1996,쌍용역
255,쌍용동,1284,1284,0,주공7단지1차,1994,
256,쌍용동,1282,1282,0,주공7단지2차,1995,
257,쌍용동,1289,1289,0,주공7단지3차,1995,
258,쌍용동,1914,1914,0,주공9,1998,
259,쌍용동,2134,2134,0,천안쌍용역코오롱하늘채,2018,쌍용역
260,쌍용동,2100,2100,0,파크밸리동일하이빌,2011,
261,쌍용동,565,565,0,한라동백,1995,
262,쌍용동,1363-1,1363,1,해누리선경,1996,쌍용역
263,쌍용동,389-3,389,3,현대1,1991,
264,쌍용동,388-2,388,2,현대3,1994,
265,쌍용동,2045,2045,0,현대6차1단지,2004,쌍용역
266,쌍용동,2041,2041,0,현대6차2단지,2004,쌍용역
267,와촌동,173,173,0,신동아파밀리에,2005,천안역
268,와촌동,100-2,100,2,천안신성미소시티,2015,
269,와촌동,186,186,0,천안역사동아라이크텐,2021,
270,와촌동,106-17,106,17,천안역세권행복주택,2022,
271,입장면 기로리,86,86,1,주성레이크빌,2003,
272,입장면 도림리,341-1,341,1,한성,1999,
273,입장면 신덕리,200-21,200,21,연합,1992,
274,입장면 신두리,393-17,393,17,거봉,1999,
275,입장면 하장리,4,4,1,아스트레아파트,2017,
276,입장면 하장리,84,84,0,연합초원,1996,
277,직산읍 군동리,39,39,0,희홍밸러-뷰,2010,
278,직산읍 군서리,428-3,428,3,청호,1993,
279,직산읍 군서리,428-5,428,5,청호7차,1995,
280,직산읍 모시리,242-5,242,5,대림,1998,
281,직산읍 모시리,253-38,253,38,동보호수마을,1997,
282,직산읍 모시리,206-13,206,13,우성8차,1995,
283,직산읍 부송리,152-16,152,16,청솔,1995,
284,직산읍 부송리,60,60,3,청호4차,1992,
285,직산읍 삼은리,76-67,76,67,브리엔츠아파트,2019,
286,직산읍 삼은리,69-18,69,18,신광,1992,
287,직산읍 삼은리,72,72,4,일진,1990,
288,직산읍 삼은리,69-14,69,14,정석,1991,
289,직산읍 삼은리,72-41,72,41,직산세광엔리치빌1차1단지,2005,
290,직산읍 삼은리,74,74,3,직산세광엔리치빌1차2단지,2005,
291,직산읍 삼은리,591,591,0,직산월드메르디앙레이크파크,2020,
292,직산읍 삼은리,395,395,0,직산코아루,2005,
293,직산읍 삼은리,70,70,0,직산한도,1993,
294,직산읍 삼은리,584,584,0,직산한양수자인아이림아파트,2019,
295,직산읍 삼은리,72-19,72,19,청림,1990,
296,직산읍 삼은리,59,59,7,청호6차,1995,
297,직산읍 삼은리,575,575,0,한양수자인비다펠리즈,2019,
298,직산읍 상덕리,107,107,0,직산산호,1997,
299,직산읍 상덕리,429,429,0,한아름,1998,
300,직산읍 수헐리,16,16,1,직산부영,1998,
301,차암동,442,442,0,e편한세상스마일시티,2015,
302,차암동,543,543,0,e편한세상스마일시티2차,2016,
303,차암동,550,550,0,천안스마일시티효성해링턴플레이스,2016,
304,차암동,448,448,0,천안한화꿈에그린스마일시티,2014,
