address,name,deal,area,month,day,acount,floor,property,
526-1,극동늘푸른,전세,59.91,7,31,16800,16,중개거래,
526-1,극동늘푸른,전세,59.91,7,4,19000,18,중개거래,
526-1,극동늘푸른,전세,84.9,7,8,14000,11,중개거래,
526-1,극동늘푸른,전세,59.91,8,11,14700,13,중개거래,
526-1,극동늘푸른,전세,59.91,8,17,18000,13,중개거래,
526-1,극동늘푸른,전세,59.91,8,18,16275,22,중개거래,
526-1,극동늘푸른,전세,59.91,8,18,16275,22,중개거래,
526-1,극동늘푸른,전세,59.91,8,2,18500,19,중개거래,
526-1,극동늘푸른,전세,59.91,8,2,18500,19,중개거래,
526-1,극동늘푸른,전세,59.91,8,2,17000,14,중개거래,
526-1,극동늘푸른,전세,59.91,8,24,18000,13,중개거래,
526-1,극동늘푸른,전세,59.91,8,27,18000,8,중개거래,
526-1,극동늘푸른,전세,84.9,8,29,20000,18,중개거래,
526-1,극동늘푸른,전세,84.9,8,29,20000,18,직거래,
526-1,극동늘푸른,전세,59.91,8,3,18000,3,중개거래,
526-1,극동늘푸른,전세,59.91,8,30,15750,5,중개거래,
526-1,극동늘푸른,전세,59.91,9,14,17850,4,중개거래,
526-1,극동늘푸른,전세,84.9,9,17,19000,7,중개거래,
526-1,극동늘푸른,전세,59.91,9,19,14700,18,중개거래,
526-1,극동늘푸른,전세,59.91,9,21,17500,8,중개거래,
526-1,극동늘푸른,전세,59.91,9,21,15750,9,중개거래,
526-1,극동늘푸른,전세,59.91,9,22,16500,5,중개거래,
526-1,극동늘푸른,전세,84.9,9,24,16800,8,중개거래,
526-1,극동늘푸른,전세,59.91,9,24,15225,14,중개거래,
526-1,극동늘푸른,전세,59.91,9,25,17000,19,직거래,
526-1,극동늘푸른,전세,59.91,9,25,13650,7,중개거래,
526-1,극동늘푸른,전세,59.91,9,27,16800,2,중개거래,
526-1,극동늘푸른,전세,84.9,9,30,21000,16,중개거래,
526-1,극동늘푸른,전세,59.91,9,6,16500,13,중개거래,
